database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
silva,fam,V4,1,mothur-wang,0.6399596367305752,0.36004036326942485,0.18617558022199798,0.31036471097016
silva,fam,V3-4,1,mothur-wang,0.6510595358224016,0.3489404641775984,0.22805247225025227,0.31440103791264234
silva,fam,Full,1,mothur-knn,0.721,0.279,0.243,0.26871428571428574
silva,fam,V4,1,mothur-knn,0.5418768920282543,0.4581231079717457,0.11856710393541876,0.36110710681850944
silva,fam,V3-4,1,mothur-knn,0.573965691220989,0.4260343087790111,0.14783047426841575,0.346547498918841
silva,gen,Full,2,mothur-wang,0.7386666666666667,0.2613333333333333,0.246,0.2591428571428571
silva,gen,V4,2,mothur-wang,0.7078708375378405,0.2921291624621594,0.07769929364278506,0.26149632405939166
silva,gen,V3-4,2,mothur-wang,0.6881720430107527,0.3118279569892473,0.07358870967741936,0.2777937788018433
silva,gen,Full,2,mothur-knn,0.7278333333333333,0.27216666666666667,0.129,0.2517142857142857
silva,gen,V4,2,mothur-knn,0.6735620585267407,0.32643794147325933,0.13521695257315844,0.29912065734467347
silva,gen,V3-4,2,mothur-knn,0.6854838709677419,0.31451612903225806,0.10786290322580645,0.2849942396313364
silva,fam,Full,2,mothur-wang,0.7536,0.2464,0.1795,0.22728571428571429
silva,fam,V4,2,mothur-wang,0.6303212851405623,0.36967871485943776,0.1214859437751004,0.29876649454962706
silva,fam,V3-4,2,mothur-wang,0.6719597989949748,0.3280402010050251,0.2201005025125628,0.2972002871500359
silva,fam,Full,2,mothur-knn,0.7468,0.2532,0.16,0.22657142857142856
silva,fam,V4,2,mothur-knn,0.6026104417670682,0.3973895582329317,0.15411646586345382,0.3278829604130809
silva,fam,V3-4,2,mothur-knn,0.6188944723618091,0.38110552763819094,0.19246231155778895,0.32720746590093325
silva,gen,Full,3,mothur-wang,0.7058333333333333,0.2941666666666667,0.056,0.2601428571428571
silva,gen,V4,3,mothur-wang,0.7124117053481333,0.2875882946518668,0.04843592330978809,0.25342367017442696
silva,gen,V3-4,3,mothur-wang,0.7267206477732794,0.2732793522267207,0.12044534412955465,0.2514459224985541
silva,gen,Full,3,mothur-knn,0.7368333333333333,0.26316666666666666,0.159,0.24828571428571428
silva,gen,V4,3,mothur-knn,0.636226034308779,0.363773965691221,0.13420787083753785,0.33097880928355194
silva,gen,V3-4,3,mothur-knn,0.6742577597840755,0.3257422402159244,0.12753036437246965,0.29742625795257377
silva,fam,Full,3,mothur-wang,0.6934,0.3066,0.254,0.2915714285714286
silva,fam,V4,3,mothur-wang,0.5766970618034448,0.42330293819655523,0.06889564336372847,0.32204371110146185
silva,fam,V3-4,3,mothur-wang,0.6148073022312374,0.3851926977687627,0.1678498985801217,0.32309475514343666
silva,fam,Full,3,mothur-knn,0.6872,0.3128,0.1565,0.2681428571428571
silva,fam,V4,3,mothur-knn,0.6026342451874367,0.3973657548125633,0.1636271529888551,0.3305832971486467
silva,fam,V3-4,3,mothur-knn,0.5772819472616633,0.42271805273833674,0.1744421906693712,0.3517820921472037
silva,gen,Full,4,mothur-wang,0.7353333333333333,0.26466666666666666,0.262,0.2642857142857143
silva,gen,V4,4,mothur-wang,0.6923076923076923,0.3076923076923077,0.14676113360323886,0.28470213996529786
silva,gen,V3-4,4,mothur-wang,0.6607565011820331,0.3392434988179669,0.05572441742654509,0.29874077290490664
silva,gen,Full,4,mothur-knn,0.7303333333333333,0.26966666666666667,0.204,0.2602857142857143
silva,gen,V4,4,mothur-knn,0.6567139001349528,0.3432860998650472,0.18421052631578946,0.320561017929439
silva,gen,V3-4,4,mothur-knn,0.6663289429246876,0.3336710570753124,0.1580547112462006,0.30858300767115354
silva,fam,Full,4,mothur-wang,0.276,0.724,0.0,0.5171428571428571
silva,fam,V4,4,mothur-wang,0.6591919191919192,0.3408080808080808,0.1005050505050505,0.27215007215007214
silva,fam,V3-4,4,mothur-wang,0.7049445005045408,0.2950554994954591,0.13370332996972756,0.24895487963096438
silva,fam,Full,4,mothur-knn,0.6984,0.3016,0.194,0.27085714285714285
silva,fam,V4,4,mothur-knn,0.6345454545454545,0.3654545454545455,0.12878787878787878,0.29783549783549784
silva,fam,V3-4,4,mothur-knn,0.6750756811301716,0.3249243188698285,0.16246215943491424,0.2785065590312815
