database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
silva,fam,V4,2,SINTAX,0.5917670682730923,0.4082329317269076,0.07697456492637215,0.2840110441767068
silva,fam,V4,2,Consensus,0.6273092369477912,0.37269076305220883,0.041499330655957165,0.24849397590361447
silva,fam,V3-4,2,RDP,0.6574874371859296,0.34251256281407033,0.1407035175879397,0.26683417085427136
silva,fam,V3-4,2,BLAST,0.672964824120603,0.327035175879397,0.15477386934673368,0.26243718592964826
silva,fam,V3-4,2,SINTAX,0.607035175879397,0.392964824120603,0.05795644891122278,0.26733668341708544
silva,fam,V3-4,2,Consensus,0.6428140703517587,0.3571859296482412,0.04958123953098827,0.24183417085427136
silva,fam,Full,3,RDP,0.6804,0.3196,0.262,0.30314285714285716
silva,fam,Full,3,BLAST,0.711,0.289,0.229,0.27185714285714285
silva,fam,Full,3,SINTAX,0.6632,0.3368,0.007,0.24257142857142858
silva,fam,Full,3,Consensus,0.6896,0.3104,0.0285,0.22985714285714287
silva,fam,V4,3,RDP,0.5685916919959473,0.43140830800405267,0.05623100303951368,0.3242147922998987
silva,fam,V4,3,BLAST,0.6332320162107397,0.3667679837892604,0.22695035460992907,0.32682008973802285
silva,fam,V4,3,SINTAX,0.5916919959473151,0.4083080040526849,0.10638297872340426,0.32204371110146185
silva,fam,V4,3,Consensus,0.6291793313069909,0.3708206686930091,0.06332320162107397,0.2829642495295991
silva,fam,V3-4,3,RDP,0.6032454361054767,0.39675456389452335,0.18052738336713997,0.33497536945812806
silva,fam,V3-4,3,BLAST,0.6912778904665314,0.30872210953346857,0.2647058823529412,0.2961460446247465
silva,fam,V3-4,3,SINTAX,0.5681541582150101,0.43184584178498986,0.07758620689655173,0.3306288032454361
silva,fam,V3-4,3,Consensus,0.6111561866125761,0.3888438133874239,0.06896551724137931,0.297450014488554
silva,fam,Full,4,RDP,0.6874,0.3126,0.1435,0.2642857142857143
silva,fam,Full,4,BLAST,0.7374,0.2626,0.3,0.2732857142857143
silva,fam,Full,4,SINTAX,0.6738,0.3262,0.0225,0.23942857142857144
silva,fam,Full,4,Consensus,0.7182,0.2818,0.0465,0.21457142857142858
silva,fam,V4,4,RDP,0.6452525252525253,0.35474747474747476,0.08787878787878788,0.2784992784992785
silva,fam,V4,4,BLAST,0.7056565656565656,0.29434343434343435,0.22626262626262628,0.2748917748917749
silva,fam,V4,4,SINTAX,0.6216161616161616,0.3783838383838384,0.08080808080808081,0.2933621933621934
silva,fam,V4,4,Consensus,0.6711111111111111,0.3288888888888889,0.03838383838383838,0.24588744588744588
silva,fam,V3-4,4,RDP,0.6934409687184662,0.3065590312815338,0.13319878910191726,0.25702753351592905
silva,fam,V3-4,4,BLAST,0.7003027245206862,0.29969727547931385,0.20736629667003026,0.2733169958195185
silva,fam,V3-4,4,SINTAX,0.6548940464177598,0.34510595358224017,0.06659939455095863,0.265532651001874
silva,fam,V3-4,4,Consensus,0.6946518668012109,0.3053481331987891,0.04742684157416751,0.23165633559175436
silva,gen,Full,0,RDP,0.7711666666666667,0.22883333333333333,0.199,0.22457142857142856
silva,gen,Full,0,BLAST,0.7841666666666667,0.21583333333333332,0.213,0.21542857142857144
silva,gen,Full,0,SINTAX,0.7171666666666666,0.2828333333333333,0.0,0.24242857142857144
silva,gen,Full,0,Consensus,0.7625,0.2375,0.004,0.20414285714285715
silva,gen,V4,0,RDP,0.7308341776426883,0.26916582235731173,0.11448834853090173,0.24706904038211028
silva,gen,V4,0,BLAST,0.7418101992570078,0.25818980074299225,0.11752786220871327,0.23809523809523808
silva,gen,V4,0,SINTAX,0.6783181357649443,0.32168186423505574,0.0,0.27572731220147634
silva,gen,V4,0,Consensus,0.7401215805471124,0.25987841945288753,0.0,0.2227529309596179
silva,gen,V3-4,0,RDP,0.7542885973763875,0.24571140262361252,0.15237134207870837,0.23237710826005478
silva,gen,V3-4,0,BLAST,0.7904473595694584,0.20955264043054153,0.10090817356205853,0.19403200230647255
silva,gen,V3-4,0,SINTAX,0.7238479650184998,0.27615203498150015,0.0,0.2367017442698573
silva,gen,V3-4,0,Consensus,0.7589976454759502,0.24100235452404978,0.0,0.2065734467348998
silva,gen,Full,1,RDP,0.7868333333333334,0.21316666666666667,0.163,0.206
silva,gen,Full,1,BLAST,0.7818333333333334,0.21816666666666668,0.225,0.21914285714285714
silva,gen,Full,1,SINTAX,0.7251666666666666,0.2748333333333333,0.0,0.23557142857142857
silva,gen,Full,1,Consensus,0.7776666666666666,0.22233333333333333,0.005,0.19128571428571428
silva,gen,V4,1,RDP,0.7414377755171244,0.2585622244828755,0.08646998982706001,0.23397761953204477
silva,gen,V4,1,BLAST,0.7212614445574771,0.2787385554425229,0.08952187182095625,0.2517076006394419
silva,gen,V4,1,SINTAX,0.6836215666327569,0.31637843336724314,0.0,0.2711815143147798
silva,gen,V4,1,Consensus,0.7271956595456087,0.27280434045439134,0.0,0.2338322918180497
silva,gen,V3-4,1,RDP,0.7540404040404041,0.24595959595959596,0.12323232323232323,0.22842712842712842
silva,gen,V3-4,1,BLAST,0.7718855218855218,0.2281144781144781,0.09595959595959595,0.20923520923520925
silva,gen,V3-4,1,SINTAX,0.7082491582491582,0.29175084175084176,0.0,0.25007215007215006
silva,gen,V3-4,1,Consensus,0.7501683501683502,0.24983164983164982,0.0,0.21414141414141413
silva,gen,Full,2,RDP,0.7285,0.2715,0.246,0.26785714285714285
silva,gen,Full,2,BLAST,0.781,0.219,0.253,0.22385714285714287
silva,gen,Full,2,SINTAX,0.6853333333333333,0.31466666666666665,0.0,0.26971428571428574
silva,gen,Full,2,Consensus,0.7203333333333334,0.2796666666666667,0.002,0.24
silva,gen,V4,2,RDP,0.6989572822065254,0.3010427177934746,0.08375378405650857,0.2700014415453366
silva,gen,V4,2,BLAST,0.7544567776656576,0.24554322233434242,0.10494450050454086,0.22545769064437077
silva,gen,V4,2,SINTAX,0.6515304406323579,0.3484695593676421,0.0,0.29868819374369326
silva,gen,V4,2,Consensus,0.6960982172889337,0.30390178271106627,0.0,0.2604872423237711
silva,gen,V3-4,2,RDP,0.714885752688172,0.28511424731182794,0.23588709677419356,0.278081797235023
silva,gen,V3-4,2,BLAST,0.7610887096774194,0.23891129032258066,0.0967741935483871,0.21860599078341014
silva,gen,V3-4,2,SINTAX,0.6703629032258065,0.32963709677419356,0.0,0.2825460829493088
silva,gen,V3-4,2,Consensus,0.7137096774193549,0.2862903225806452,0.0,0.24539170506912442
silva,gen,Full,3,RDP,0.7315,0.2685,0.249,0.26571428571428574
silva,gen,Full,3,BLAST,0.7431666666666666,0.25683333333333336,0.187,0.24685714285714286
silva,gen,Full,3,SINTAX,0.7073333333333334,0.2926666666666667,0.0,0.25085714285714283
silva,gen,Full,3,Consensus,0.7343333333333333,0.26566666666666666,0.001,0.22785714285714287
silva,gen,V4,3,RDP,0.701816347124117,0.29818365287588294,0.05146316851664985,0.2629378693959925
silva,gen,V4,3,BLAST,0.7213252606794484,0.27867473932055165,0.17255297679112008,0.26351448753063283
silva,gen,V4,3,SINTAX,0.6567440295997309,0.34325597040026906,0.0,0.29421940320023066
silva,gen,V4,3,Consensus,0.7024890682811974,0.29751093171880255,0.0,0.25500937004468793
silva,gen,V3-4,3,RDP,0.7145748987854251,0.2854251012145749,0.11538461538461539,0.2611336032388664
silva,gen,V3-4,3,BLAST,0.7319500674763832,0.26804993252361675,0.18724696356275303,0.25650665124349337
silva,gen,V3-4,3,SINTAX,0.6585695006747638,0.34143049932523617,0.0,0.2926547137073453
silva,gen,V3-4,3,Consensus,0.7133940620782726,0.2866059379217274,0.0,0.24566223250433777
silva,gen,Full,4,RDP,0.725,0.275,0.254,0.272
silva,gen,Full,4,BLAST,0.777,0.223,0.241,0.22557142857142856
silva,gen,Full,4,SINTAX,0.702,0.298,0.0,0.25542857142857145
silva,gen,Full,4,Consensus,0.7281666666666666,0.2718333333333333,0.001,0.23314285714285715
silva,gen,V4,4,RDP,0.6833670715249662,0.3166329284750337,0.1396761133603239,0.29135338345864664
silva,gen,V4,4,BLAST,0.7231781376518218,0.2768218623481781,0.2591093117408907,0.2742914979757085
silva,gen,V4,4,SINTAX,0.6469298245614035,0.3530701754385965,0.0,0.3026315789473684
silva,gen,V4,4,Consensus,0.6842105263157895,0.3157894736842105,0.013157894736842105,0.2725563909774436
silva,gen,V3-4,4,RDP,0.7011144883485309,0.2988855116514691,0.18541033434650456,0.2826747720364742
silva,gen,V3-4,4,BLAST,0.7556568726781493,0.24434312732185073,0.2998986828774063,0.25227963525835867
silva,gen,V3-4,4,SINTAX,0.671563660925363,0.32843633907463693,0.0,0.2815168620639745
silva,gen,V3-4,4,Consensus,0.7107396149949341,0.28926038500506585,0.0010131712259371835,0.24808221160804747
